# step time Ekin Epot Etot T
3950 7.9 553.036 -103.814 449.222 2.75143
3960 7.92 549.746 -100.516 449.23 2.73505
3970 7.94 558.163 -108.94 449.224 2.77693
3980 7.96 570.991 -121.782 449.209 2.84075
3990 7.98 560.714 -111.498 449.217 2.78962
4000 8 543.248 -94.0228 449.226 2.70273
4010 8.02 552.69 -103.477 449.213 2.7497
4020 8.04 561.16 -111.971 449.19 2.79184
4030 8.06 530.767 -81.5308 449.236 2.64063
4040 8.08 538.407 -89.2119 449.196 2.67864
4050 8.1 551.084 -101.876 449.208 2.74171
4060 8.12 543.004 -93.7667 449.237 2.70151
4070 8.14 549.022 -99.8069 449.215 2.73145
4080 8.16 549.42 -100.187 449.233 2.73343
4090 8.18 557.214 -107.991 449.222 2.77221
4100 8.2 565.37 -116.145 449.225 2.81279
4110 8.22 565.892 -116.659 449.234 2.81539
4120 8.24 566.542 -117.314 449.228 2.81862
4130 8.26 561.714 -112.486 449.228 2.7946
4140 8.28 555.825 -106.591 449.234 2.7653
4150 8.3 556.651 -107.423 449.229 2.76941
4160 8.32 559.718 -110.494 449.224 2.78467
4170 8.34 559.561 -110.335 449.227 2.78389
4180 8.36 558.877 -109.642 449.234 2.78048
4190 8.38 563.866 -114.642 449.224 2.80531
4200 8.4 562.217 -112.994 449.223 2.7971
4210 8.42 556.427 -107.191 449.236 2.76829
4220 8.44 561.458 -112.225 449.233 2.79332
4230 8.46 572.358 -123.133 449.225 2.84755
4240 8.48 575.151 -125.928 449.223 2.86145
4250 8.5 565.463 -116.229 449.234 2.81325
4260 8.52 558.786 -109.545 449.241 2.78003
4270 8.54 568.723 -119.503 449.22 2.82947
4280 8.56 569.748 -120.544 449.204 2.83457
4290 8.58 545.452 -96.2022 449.25 2.71369
4300 8.6 557.534 -108.323 449.211 2.7738
4310 8.62 574.597 -125.382 449.215 2.85869
4320 8.64 571.912 -122.686 449.225 2.84533
4330 8.66 561.4 -112.171 449.229 2.79303
4340 8.68 559.029 -109.786 449.243 2.78124
4350 8.7 573.015 -123.803 449.212 2.85082
4360 8.72 566.432 -117.222 449.21 2.81807
4370 8.74 542.564 -93.3145 449.25 2.69932
4380 8.76 545.65 -96.4441 449.206 2.71468
4390 8.78 546.373 -97.1229 449.25 2.71828
4400 8.8 566.94 -117.742 449.198 2.8206
4410 8.82 569.339 -120.096 449.243 2.83253
4420 8.84 578.16 -128.948 449.212 2.87642
4430 8.86 569.176 -119.957 449.219 2.83172
4440 8.88 555.001 -105.774 449.227 2.7612
4450 8.9 549.195 -99.9664 449.229 2.73231
4460 8.92 553.782 -104.559 449.223 2.75513
4470 8.94 562.695 -113.464 449.23 2.79948
4480 8.96 571.728 -122.501 449.228 2.84442
4490 8.98 574.551 -125.324 449.227 2.85846
4500 9 573.367 -124.128 449.239 2.85257
4510 9.02 579.433 -130.208 449.225 2.88275
4520 9.04 579.26 -130.032 449.227 2.88189
4530 9.06 573.39 -124.16 449.229 2.85268
4540 9.08 566.806 -117.575 449.232 2.81993
4550 9.1 562.646 -113.428 449.218 2.79924
4560 9.12 553.702 -104.469 449.233 2.75474
4570 9.14 551.742 -102.517 449.225 2.74499
4580 9.16 558.771 -109.546 449.226 2.77996
4590 9.18 568.228 -119.015 449.213 2.82701
4600 9.2 560.475 -111.24 449.234 2.78843
4610 9.22 557.851 -108.63 449.221 2.77538
4620 9.24 550.72 -101.494 449.226 2.7399
4630 9.26 549.308 -100.075 449.233 2.73287
4640 9.28 564.765 -115.541 449.225 2.80978
4650 9.3 576.994 -127.776 449.218 2.87062
4660 9.32 572.552 -123.327 449.225 2.84852
4670 9.34 561.436 -112.204 449.232 2.79321
4680 9.36 565.331 -116.108 449.223 2.81259
4690 9.38 573.312 -124.089 449.223 2.8523
4700 9.4 569.686 -120.466 449.221 2.83426
4710 9.42 555.74 -106.51 449.23 2.76488
4720 9.44 550.097 -100.872 449.224 2.7368
4730 9.46 552.57 -103.34 449.23 2.74911
4740 9.48 557.653 -108.452 449.202 2.7744
4750 9.5 550.389 -101.156 449.233 2.73825
4760 9.52 550.785 -101.574 449.211 2.74023
4770 9.54 544.54 -95.3081 449.232 2.70915
4780 9.56 550.484 -101.264 449.22 2.73873
4790 9.58 549.933 -100.724 449.209 2.73598
4800 9.6 546.523 -97.2945 449.229 2.71902
4810 9.62 555.79 -106.585 449.205 2.76512
4820 9.64 548.969 -99.7259 449.243 2.73119
4830 9.66 560.98 -111.769 449.21 2.79094
4840 9.68 564.114 -114.886 449.228 2.80654
4850 9.7 563.264 -114.034 449.23 2.80231
4860 9.72 562.011 -112.786 449.225 2.79608
4870 9.74 559.694 -110.456 449.238 2.78455
4880 9.76 563.475 -114.258 449.217 2.80336
4890 9.78 555.093 -105.874 449.219 2.76166
4900 9.8 548.078 -98.8272 449.25 2.72675
4910 9.82 567.761 -118.555 449.206 2.82468
4920 9.84 567.291 -118.067 449.224 2.82234
4930 9.86 554.112 -104.884 449.227 2.75677
4940 9.88 543.031 -93.8228 449.208 2.70165
