# it time Tinst Tset
5120 10.24 1.29178 1.25176
5130 10.26 1.25929 1.25176
5140 10.28 1.19817 1.24681
5150 10.3 1.21935 1.24681
5160 10.32 1.27286 1.24185
5170 10.34 1.25172 1.24185
5180 10.36 1.21302 1.23689
5190 10.38 1.23638 1.23689
5200 10.4 1.25248 1.23193
5210 10.42 1.19894 1.23193
5220 10.44 1.16046 1.22697
5230 10.46 1.22657 1.22697
5240 10.48 1.30224 1.22202
5250 10.5 1.22624 1.22202
5260 10.52 1.15035 1.21706
5270 10.54 1.21975 1.21706
5280 10.56 1.2695 1.2121
5290 10.58 1.20283 1.2121
5300 10.6 1.14561 1.20714
5310 10.62 1.17325 1.20714
5320 10.64 1.22613 1.20218
5330 10.66 1.22662 1.20218
5340 10.68 1.19435 1.19723
5350 10.7 1.16556 1.19723
5360 10.72 1.1696 1.19227
5370 10.74 1.19608 1.19227
5380 10.76 1.21154 1.18731
5390 10.78 1.20327 1.18731
5400 10.8 1.17115 1.18235
5410 10.82 1.14845 1.18235
5420 10.84 1.15767 1.17739
5430 10.86 1.18762 1.17739
5440 10.88 1.18068 1.17244
5450 10.9 1.15025 1.17244
5460 10.92 1.16553 1.16748
5470 10.94 1.17975 1.16748
5480 10.96 1.15829 1.16252
5490 10.98 1.14043 1.16252
5500 11 1.15329 1.15756
5510 11.02 1.16431 1.15756
5520 11.04 1.14855 1.15261
5530 11.06 1.1324 1.15261
5540 11.08 1.1132 1.14765
5550 11.1 1.1475 1.14765
5560 11.12 1.20522 1.14269
5570 11.14 1.15758 1.14269
5580 11.16 1.08716 1.13773
5590 11.18 1.10153 1.13773
5600 11.2 1.15103 1.13277
5610 11.22 1.13947 1.13277
5620 11.24 1.10514 1.12782
5630 11.26 1.12246 1.12782
5640 11.28 1.143 1.12286
5650 11.3 1.1196 1.12286
5660 11.32 1.09344 1.1179
5670 11.34 1.10827 1.1179
5680 11.36 1.12884 1.11294
5690 11.38 1.10878 1.11294
5700 11.4 1.0865 1.10798
5710 11.42 1.09964 1.10798
5720 11.44 1.11661 1.10303
5730 11.46 1.10152 1.10303
5740 11.48 1.08127 1.09807
5750 11.5 1.08018 1.09807
5760 11.52 1.09582 1.09311
5770 11.54 1.11057 1.09311
5780 11.56 1.10485 1.08815
5790 11.58 1.06271 1.08815
5800 11.6 1.03278 1.08319
5810 11.62 1.06841 1.08319
5820 11.64 1.14183 1.07824
5830 11.66 1.11704 1.07824
5840 11.68 1.02385 1.07328
5850 11.7 0.994852 1.07328
5860 11.72 1.06771 1.06832
5870 11.74 1.13623 1.06832
5880 11.76 1.07831 1.06336
5890 11.78 0.995922 1.06336
5900 11.8 1.00758 1.0584
5910 11.82 1.09455 1.0584
5920 11.84 1.14789 1.05345
5930 11.86 1.06833 1.05345
5940 11.88 0.952904 1.04849
5950 11.9 0.950921 1.04849
5960 11.92 1.07027 1.04353
5970 11.94 1.15696 1.04353
5980 11.96 1.06623 1.03857
5990 11.98 0.938791 1.03857
6000 12 0.953048 1.03361
6010 12.02 1.08738 1.03361
6020 12.04 1.12822 1.02866
6030 12.06 1.00755 1.02866
6040 12.08 0.916928 1.0237
6050 12.1 0.966784 1.0237
6060 12.12 1.11112 1.01874
6070 12.14 1.10704 1.01874
6080 12.16 0.955078 1.01378
6090 12.18 0.898418 1.01378
6100 12.2 1.01536 1.00882
6110 12.22 1.12476 1.00882
6120 12.24 1.04047 1.00387
6130 12.26 0.904631 1.00387
6140 12.28 0.905048 0.998908
6150 12.3 1.02805 0.998908
6160 12.32 1.0852 0.99395
6170 12.34 1.02395 0.99395
6180 12.36 0.936568 0.988992
