# step time x y
8030 16.06 2.59134 6.27379
8040 16.08 2.51723 6.26508
8050 16.1 2.44421 6.25655
8060 16.12 2.37173 6.24826
8070 16.14 2.29929 6.24028
8080 16.16 2.22655 6.23267
8090 16.18 2.15327 6.22554
8100 16.2 2.07935 6.21894
8110 16.22 2.00482 6.2129
8120 16.24 1.9299 6.20727
8130 16.26 1.85495 6.20168
8140 16.28 1.78039 6.19557
8150 16.3 1.70652 6.18832
8160 16.32 1.63335 6.17968
8170 16.34 1.56063 6.1699
8180 16.36 1.48806 6.15961
8190 16.38 1.41547 6.1495
8200 16.4 1.3428 6.14005
8210 16.42 1.27009 6.1315
8220 16.44 1.1974 6.1239
8230 16.46 1.12478 6.11716
8240 16.48 1.05225 6.11116
8250 16.5 0.979825 6.10576
8260 16.52 0.907486 6.10085
8270 16.54 0.835219 6.09632
8280 16.56 0.763 6.09208
8290 16.58 0.690806 6.08808
8300 16.6 0.618612 6.08427
8310 16.62 0.546395 6.08061
8320 16.64 0.474133 6.0771
8330 16.66 0.401804 6.07371
