# step time Ekin Epot Etot T
6950 13.9 504.024 -115.51 388.514 2.52012
6960 13.92 504.321 -111.957 392.364 2.52161
6970 13.94 504.806 -111.127 393.678 2.52403
6980 13.96 503.549 -119.341 384.208 2.51775
6990 13.98 504.332 -115.81 388.522 2.52166
7000 14 503.841 -110.233 393.609 2.51921
7010 14.02 505.026 -101.48 403.546 2.52513
7020 14.04 503.285 -106.762 396.523 2.51642
7030 14.06 505.448 -106.412 399.036 2.52724
7040 14.08 504.416 -112.518 391.898 2.52208
7050 14.1 504.011 -106.609 397.402 2.52006
7060 14.12 504.452 -92.0515 412.401 2.52226
7070 14.14 500.358 -120.61 379.748 2.50179
7080 14.16 503.034 -129.619 373.415 2.51517
7090 14.18 503.485 -119.604 383.881 2.51742
7100 14.2 505.167 -108.196 396.971 2.52583
7110 14.22 502.928 -114.537 388.391 2.51464
7120 14.24 504.519 -97.2225 407.296 2.52259
7130 14.26 501.85 -115.112 386.738 2.50925
7140 14.28 503.266 -128.463 374.802 2.51633
7150 14.3 503.731 -124.325 379.406 2.51865
7160 14.32 503.934 -110.031 393.903 2.51967
7170 14.34 504.409 -98.2528 406.157 2.52205
7180 14.36 504.368 -105.938 398.43 2.52184
7190 14.38 503.824 -122.694 381.13 2.51912
7200 14.4 504.134 -130.161 373.973 2.52067
7210 14.42 504.137 -133.316 370.821 2.52069
7220 14.44 503.908 -130.899 373.009 2.51954
7230 14.46 504.64 -121.731 382.909 2.5232
7240 14.48 503.878 -123.129 380.748 2.51939
7250 14.5 504.506 -117.833 386.673 2.52253
7260 14.52 503.676 -116.306 387.37 2.51838
7270 14.54 504.24 -110.901 393.339 2.5212
7280 14.56 504.396 -113.6 390.796 2.52198
7290 14.58 503.902 -123.266 380.637 2.51951
7300 14.6 504.383 -124.511 379.872 2.52192
7310 14.62 503.902 -128.22 375.682 2.51951
7320 14.64 503.845 -126.189 377.656 2.51922
7330 14.66 504.284 -114.406 389.879 2.52142
7340 14.68 504.471 -104.821 399.649 2.52235
7350 14.7 504.621 -110.939 393.682 2.5231
7360 14.72 503.86 -127.704 376.155 2.5193
7370 14.74 504.075 -134.114 369.961 2.52037
7380 14.76 503.643 -130.677 372.966 2.51821
7390 14.78 505.511 -116.384 389.127 2.52755
7400 14.8 503.752 -123.097 380.655 2.51876
7410 14.82 504.058 -124.634 379.423 2.52029
7420 14.84 504.598 -126.891 377.707 2.52299
7430 14.86 504.088 -136.619 367.469 2.52044
7440 14.88 503.859 -140.662 363.197 2.5193
7450 14.9 503.832 -130.806 373.026 2.51916
7460 14.92 505.118 -112.615 392.504 2.52559
7470 14.94 504.342 -116.602 387.741 2.52171
7480 14.96 504.028 -130.356 373.673 2.52014
7490 14.98 503.867 -135.642 368.226 2.51934
7500 15 504.381 -127.528 376.853 2.52191
7510 15.02 503.956 -124.092 379.864 2.51978
7520 15.04 504.13 -113.24 390.89 2.52065
7530 15.06 503.685 -116.925 386.76 2.51843
7540 15.08 504.054 -129.949 374.105 2.52027
7550 15.1 503.541 -134.103 369.438 2.51771
7560 15.12 504.392 -118.193 386.199 2.52196
7570 15.14 504.491 -115.016 389.475 2.52245
7580 15.16 503.949 -128.652 375.297 2.51975
7590 15.18 503.873 -135.383 368.49 2.51936
7600 15.2 504.228 -132.294 371.934 2.52114
7610 15.22 504.183 -127.45 376.734 2.52092
7620 15.24 504.346 -125.11 379.235 2.52173
7630 15.26 504.315 -127.741 376.574 2.52157
7640 15.28 503.992 -133.52 370.471 2.51996
7650 15.3 504.072 -133.388 370.683 2.52036
7660 15.32 504.396 -129.012 375.385 2.52198
7670 15.34 503.692 -129.881 373.811 2.51846
7680 15.36 504.66 -121.366 383.294 2.5233
7690 15.38 503.836 -120.188 383.648 2.51918
7700 15.4 504.347 -117.495 386.852 2.52173
7710 15.42 504.827 -121.765 383.062 2.52413
7720 15.44 503.448 -138.232 365.217 2.51724
7730 15.46 503.504 -131.191 372.313 2.51752
7740 15.48 505.017 -117.207 387.81 2.52509
7750 15.5 504.297 -116.746 387.551 2.52149
7760 15.52 504.636 -118.26 386.376 2.52318
7770 15.54 503.671 -130.966 372.706 2.51836
7780 15.56 504.157 -137.589 366.568 2.52079
7790 15.58 503.737 -138.776 364.961 2.51868
7800 15.6 504.118 -122.997 381.122 2.52059
7810 15.62 505.264 -111.795 393.469 2.52632
7820 15.64 503.662 -124.488 379.175 2.51831
7830 15.66 503.858 -125.098 378.76 2.51929
7840 15.68 504.167 -112.42 391.746 2.52083
7850 15.7 504.629 -98.1487 406.48 2.52314
7860 15.72 504.307 -101.079 403.228 2.52153
7870 15.74 504.281 -109.233 395.048 2.5214
7880 15.76 503.675 -122.876 380.798 2.51837
7890 15.78 504.062 -128.327 375.736 2.52031
7900 15.8 504.199 -127.306 376.893 2.521
7910 15.82 503.84 -124.336 379.505 2.5192
7920 15.84 504.261 -111.117 393.144 2.5213
7930 15.86 505.185 -102.644 402.541 2.52592
7940 15.88 503.558 -110.033 393.525 2.51779
7950 15.9 503.995 -109.348 394.647 2.51997
7960 15.92 504.417 -109.779 394.639 2.52209
7970 15.94 504.368 -112.171 392.197 2.52184
7980 15.96 504.39 -119.46 384.93 2.52195
7990 15.98 503.831 -131.257 372.574 2.51916
8000 16 503.787 -130.455 373.332 2.51894
8010 16.02 505.121 -123.606 381.515 2.52561
8020 16.04 503.682 -131.298 372.385 2.51841
8030 16.06 504.011 -124.441 379.57 2.52005
8040 16.08 504.429 -114.995 389.434 2.52215
8050 16.1 504.506 -117.859 386.647 2.52253
8060 16.12 503.976 -128.111 375.865 2.51988
8070 16.14 503.865 -130.41 373.455 2.51932
8080 16.16 504.455 -123.346 381.109 2.52228
8090 16.18 504.225 -122.368 381.857 2.52112
8100 16.2 504.108 -124.381 379.727 2.52054
8110 16.22 503.794 -121.068 382.726 2.51897
8120 16.24 505.389 -112.113 393.276 2.52694
8130 16.26 503.756 -120.752 383.004 2.51878
8140 16.28 503.739 -121.303 382.436 2.51869
8150 16.3 504.775 -116.156 388.619 2.52387
8160 16.32 504.163 -121.762 382.401 2.52081
8170 16.34 504.185 -128.715 375.47 2.52093
8180 16.36 503.991 -134.351 369.641 2.51996
