# t   T_sensor   E_supplied   E_window
5810  292.766  550  6.07736
5820  292.767  550  6.07754
5830  292.768  550  6.07772
5840  292.768  550  6.07789
5850  292.769  550  6.07806
5860  292.77  550  6.07823
5870  292.77  550  6.0784
5880  292.771  550  6.07857
5890  292.772  550  6.07874
5900  292.772  550  6.0789
5910  292.773  550  6.07906
5920  292.774  550  6.07922
5930  292.774  550  6.07938
5940  292.775  550  6.07954
5950  292.775  550  6.0797
5960  292.776  550  6.07985
5970  292.777  550  6.08
5980  292.777  550  6.08015
5990  292.778  550  6.0803
6000  292.778  550  6.08045
6010  292.779  550  6.0806
6020  292.78  550  6.08074
6030  292.78  550  6.08089
6040  292.781  550  6.08103
6050  292.781  550  6.08117
6060  292.782  550  6.08131
6070  292.782  550  6.08145
6080  292.783  550  6.08159
6090  292.783  550  6.08172
6100  292.784  550  6.08186
6110  292.784  550  6.08199
6120  292.785  550  6.08212
6130  292.785  550  6.08225
6140  292.786  550  6.08238
6150  292.787  550  6.08251
6160  292.787  550  6.08263
6170  292.787  550  6.08276
6180  292.788  550  6.08288
6190  292.788  550  6.08301
6200  292.789  550  6.08313
6210  292.789  550  6.08325
6220  292.79  550  6.08337
6230  292.79  550  6.08348
6240  292.791  550  6.0836
6250  292.791  550  6.08372
6260  292.792  550  6.08383
6270  292.792  550  6.08394
6280  292.793  550  6.08406
6290  292.793  550  6.08417
6300  292.793  550  6.08428
6310  292.794  550  6.08438
6320  292.794  550  6.08449
6330  292.795  550  6.0846
6340  292.795  550  6.0847
6350  292.796  550  6.08481
6360  292.796  550  6.08491
6370  292.796  550  6.08501
6380  292.797  550  6.08512
6390  292.797  550  6.08522
6400  292.798  550  6.08532
6410  292.798  550  6.08541
6420  292.798  550  6.08551
6430  292.799  550  6.08561
6440  292.799  550  6.0857
6450  292.799  550  6.0858
6460  292.8  550  6.08589
6470  292.8  550  6.08598
6480  292.801  550  6.08608
6490  292.801  550  6.08617
6500  292.801  550  6.08626
6510  292.802  550  6.08634
6520  292.802  550  6.08643
6530  292.802  550  6.08652
6540  292.803  550  6.08661
6550  292.803  550  6.08669
6560  292.803  550  6.08678
6570  292.804  550  6.08686
6580  292.804  550  6.08694
6590  292.804  550  6.08702
6600  292.805  550  6.08711
6610  292.805  550  6.08719
6620  292.805  550  6.08727
6630  292.806  550  6.08734
6640  292.806  550  6.08742
6650  292.806  550  6.0875
6660  292.806  550  6.08758
6670  292.807  550  6.08765
6680  292.807  550  6.08773
6690  292.807  550  6.0878
6700  292.808  550  6.08788
6710  292.808  550  6.08795
6720  292.808  550  6.08802
6730  292.808  550  6.08809
6740  292.809  550  6.08816
6750  292.809  550  6.08823
6760  292.809  550  6.0883
6770  292.81  550  6.08837
6780  292.81  550  6.08844
6790  292.81  550  6.0885
6800  292.81  550  6.08857
6810  292.811  550  6.08864
6820  292.811  550  6.0887
6830  292.811  550  6.08877
6840  292.811  550  6.08883
6850  292.812  550  6.08889
6860  292.812  550  6.08896
6870  292.812  550  6.08902
6880  292.812  550  6.08908
6890  292.813  550  6.08914
6900  292.813  550  6.0892
6910  292.813  550  6.08926
6920  292.813  550  6.08932
6930  292.814  550  6.08938
6940  292.814  550  6.08943
6950  292.814  550  6.08949
6960  292.814  550  6.08955
6970  292.814  550  6.0896
6980  292.815  550  6.08966
6990  292.815  550  6.08971
7000  292.815  550  6.08977
7010  292.815  550  6.08982
7020  292.815  550  6.08988
7030  292.816  550  6.08993
7040  292.816  550  6.08998
7050  292.816  550  6.09003
7060  292.816  550  6.09008
7070  292.817  550  6.09013
7080  292.817  550  6.09018
7090  292.817  550  6.09023
7100  292.817  550  6.09028
7110  292.817  550  6.09033
7120  292.817  550  6.09038
7130  292.818  550  6.09043
7140  292.818  550  6.09047
7150  292.818  550  6.09052
7160  292.818  550  6.09057
7170  292.818  550  6.09061
7180  292.819  550  6.09066
7190  292.819  550  6.0907
7200  292.819  550  6.09075
7210  292.819  550  6.09079
7220  292.819  550  6.09084
7230  292.819  550  6.09088
7240  292.82  550  6.09092
7250  292.82  550  6.09096
7260  292.82  550  6.09101
7270  292.82  550  6.09105
7280  292.82  550  6.09109
7290  292.82  550  6.09113
7300  292.821  550  6.09117
7310  292.821  550  6.09121
7320  292.821  550  6.09125
7330  292.821  550  6.09129
7340  292.821  550  6.09133
7350  292.821  550  6.09136
7360  292.821  550  6.0914
7370  292.822  550  6.09144
7380  292.822  550  6.09148
7390  292.822  550  6.09151
7400  292.822  550  6.09155
7410  292.822  550  6.09158
7420  292.822  550  6.09162
7430  292.822  550  6.09166
7440  292.823  550  6.09169
7450  292.823  550  6.09172
7460  292.823  550  6.09176
7470  292.823  550  6.09179
7480  292.823  550  6.09183
7490  292.823  550  6.09186
7500  292.823  550  6.09189
7510  292.824  550  6.09192
7520  292.824  550  6.09196
7530  292.824  550  6.09199
7540  292.824  550  6.09202
7550  292.824  550  6.09205
7560  292.824  550  6.09208
7570  292.824  550  6.09211
7580  292.824  550  6.09214
7590  292.825  550  6.09217
7600  292.825  550  6.0922
7610  292.825  550  6.09223
7620  292.825  550  6.09226
7630  292.825  550  6.09229
7640  292.825  550  6.09232
7650  292.825  550  6.09235
7660  292.825  550  6.09237
7670  292.825  550  6.0924
7680  292.826  550  6.09243
7690  292.826  550  6.09246
7700  292.826  550  6.09248
7710  292.826  550  6.09251
7720  292.826  550  6.09254
7730  292.826  550  6.09256
7740  292.826  550  6.09259
7750  292.826  550  6.09261
7760  292.826  550  6.09264
7770  292.826  550  6.09266
7780  292.827  550  6.09269
7790  292.827  550  6.09271
7800  292.827  550  6.09274
7810  292.827  550  6.09276
7820  292.827  550  6.09278
7830  292.827  550  6.09281
7840  292.827  550  6.09283
7850  292.827  550  6.09285
7860  292.827  550  6.09288
7870  292.827  550  6.0929
7880  292.827  550  6.09292
7890  292.828  550  6.09294
7900  292.828  550  6.09296
7910  292.828  550  6.09299
7920  292.828  550  6.09301
7930  292.828  550  6.09303
7940  292.828  550  6.09305
7950  292.828  550  6.09307
7960  292.828  550  6.09309
7970  292.828  550  6.09311
7980  292.828  550  6.09313
7990  292.828  550  6.09315
8000  292.828  550  6.09317
8010  292.829  550  6.09319
8020  292.829  550  6.09321
8030  292.829  550  6.09323
8040  292.829  550  6.09325
8050  292.829  550  6.09327
8060  292.829  550  6.09329
8070  292.829  550  6.0933
8080  292.829  550  6.09332
8090  292.829  550  6.09334
8100  292.829  550  6.09336
8110  292.829  550  6.09338
8120  292.829  550  6.09339
8130  292.829  550  6.09341
8140  292.829  550  6.09343
8150  292.83  550  6.09344
8160  292.83  550  6.09346
8170  292.83  550  6.09348
8180  292.83  550  6.09349
8190  292.83  550  6.09351
8200  292.83  550  6.09353
8210  292.83  550  6.09354
8220  292.83  550  6.09356
8230  292.83  550  6.09357
8240  292.83  550  6.09359
8250  292.83  550  6.0936
8260  292.83  550  6.09362
8270  292.83  550  6.09363
8280  292.83  550  6.09365
8290  292.83  550  6.09366
8300  292.83  550  6.09368
8310  292.83  550  6.09369
8320  292.831  550  6.09371
8330  292.831  550  6.09372
8340  292.831  550  6.09373
8350  292.831  550  6.09375
8360  292.831  550  6.09376
8370  292.831  550  6.09377
8380  292.831  550  6.09379
8390  292.831  550  6.0938
8400  292.831  550  6.09381
8410  292.831  550  6.09383
8420  292.831  550  6.09384
8430  292.831  550  6.09385
8440  292.831  550  6.09387
8450  292.831  550  6.09388
8460  292.831  550  6.09389
8470  292.831  550  6.0939
8480  292.831  550  6.09391
8490  292.831  550  6.09393
8500  292.831  550  6.09394
8510  292.832  550  6.09395
8520  292.832  550  6.09396
