t,I,st,difference,relative_difference,center,max_u
422.125,4.22125000000412,4.22125,4.12025968898888e-12,9.76075733251734e-13,0.00803618875782983,0.00803618875782983
422.25,4.2225000000041,4.2225,4.10338429901458e-12,9.71790242513814e-13,0.00803643700640194,0.00803643700640194
422.375,4.22375000000415,4.22375,4.15223411209809e-12,9.83068153204637e-13,0.0080366851974222,0.0080366851974222
422.5,4.2250000000042,4.225,4.19664303308309e-12,9.93288291853986e-13,0.00803693333093556,0.00803693333093556
422.625,4.22625000000418,4.22625,4.18243217836789e-12,9.89631985416833e-13,0.00803718140698694,0.00803718140698694
422.75,4.22750000000417,4.2275,4.16822132365269e-12,9.85977841195195e-13,0.0080374294256212,0.0080374294256212
422.875,4.22875000000415,4.22875,4.15223411209809e-12,9.81905790623254e-13,0.00803767738688319,0.00803767738688319
423,4.23000000000421,4.23,4.21085388779829e-12,9.95473732340022e-13,0.00803792529081768,0.00803792529081768
423.125,4.23125000000424,4.23125,4.2348347051302e-12,1.0008471976674e-12,0.00803817313746943,0.00803817313746943
423.25,4.23250000000423,4.2325,4.2286174561923e-12,9.99082683093277e-13,0.00803842092688314,0.00803842092688314
423.375,4.23375000000423,4.23375,4.229505634612e-12,9.98997492674815e-13,0.00803866865910349,0.00803866865910349
423.5,4.23500000000428,4.235,4.2810199829546e-12,1.01086658393261e-12,0.00803891633417509,0.00803891633417509
423.625,4.23625000000425,4.23625,4.2525982735242e-12,1.00385913804053e-12,0.00803916395214253,0.00803916395214253
423.75,4.23750000000435,4.2375,4.34674518601241e-12,1.02578057487019e-12,0.00803941151305036,0.00803941151305036
423.875,4.23875000000435,4.23875,4.34674518601241e-12,1.02547807396341e-12,0.00803965901694307,0.00803965901694307
424,4.24000000000434,4.24,4.34408065075331e-12,1.02454732329088e-12,0.00803990646386513,0.00803990646386513
424.125,4.24125000000438,4.24125,4.38227232280042e-12,1.03325017926329e-12,0.00804015385386097,0.00804015385386097
424.25,4.24250000000438,4.2425,4.37960778754132e-12,1.03231768710461e-12,0.00804040118697495,0.00804040118697495
424.375,4.24375000000439,4.24375,4.38493685805952e-12,1.03326936272389e-12,0.00804064846325143,0.00804064846325143
424.5,4.2450000000044,4.245,4.39559499909592e-12,1.03547585373284e-12,0.00804089568273471,0.00804089568273471
424.625,4.24625000000441,4.24625,4.40714131855202e-12,1.03789021337698e-12,0.00804114284546903,0.00804114284546903
424.75,4.24750000000443,4.2475,4.42490488694602e-12,1.04176689510207e-12,0.00804138995149863,0.00804138995149863
424.875,4.24875000000443,4.24875,4.43201031430362e-12,1.04313276005969e-12,0.00804163700086768,0.00804163700086768
425,4.25000000000446,4.25,4.46398473741283e-12,1.05034934997949e-12,0.00804188399362032,0.00804188399362032
425.125,4.25125000000444,4.25125,4.43556302798243e-12,1.04335501981357e-12,0.00804213092980064,0.00804213092980064
425.25,4.25250000000442,4.2525,4.42224035168692e-12,1.03991542661656e-12,0.00804237780945271,0.00804237780945271
425.375,4.25375000000451,4.25375,4.50572912313874e-12,1.05923693755833e-12,0.00804262463262054,0.00804262463262054
425.5,4.25500000000452,4.255,4.51638726417514e-12,1.06143061437724e-12,0.00804287139934811,0.00804287139934811
425.625,4.25625000000454,4.25625,4.54303261676614e-12,1.06737917574535e-12,0.00804311810967935,0.00804311810967935
425.75,4.25750000000452,4.2575,4.52082815627364e-12,1.06185041838488e-12,0.00804336476365816,0.00804336476365816
425.875,4.25875000000454,4.25875,4.54214443834644e-12,1.06654404187765e-12,0.00804361136132841,0.00804361136132841
426,4.26000000000457,4.26,4.56701343409804e-12,1.07206888124367e-12,0.0080438579027339,0.0080438579027339
426.125,4.26125000000455,4.26125,4.54480897360554e-12,1.0665436136358e-12,0.00804410438791841,0.00804410438791841
426.25,4.26250000000458,4.2625,4.58477700249205e-12,1.07560750791602e-12,0.00804435081692568,0.00804435081692568
426.375,4.26375000000459,4.26375,4.59099425142995e-12,1.07675033747991e-12,0.00804459718979941,0.00804459718979941
426.5,4.26500000000464,4.265,4.63984406451345e-12,1.08788840903012e-12,0.00804484350658325,0.00804484350658325
426.625,4.26625000000466,4.26625,4.65494309764836e-12,1.0911088421092e-12,0.00804508976732082,0.00804508976732082
426.75,4.26750000000468,4.2675,4.67625937972116e-12,1.09578427175657e-12,0.0080453359720557,0.0080453359720557
426.875,4.26875000000467,4.26875,4.67181848762266e-12,1.09442307177105e-12,0.00804558212083142,0.00804558212083142
427,4.27000000000471,4.27,4.71089833808946e-12,1.10325488011463e-12,0.00804582821369149,0.00804582821369149
427.125,4.27125000000469,4.27125,4.69313476969546e-12,1.09877313893953e-12,0.00804607425067936,0.00804607425067936
427.25,4.2725000000047,4.2725,4.70379291073186e-12,1.10094626348317e-12,0.00804632023183846,0.00804632023183846
427.375,4.27375000000469,4.27375,4.69313476969546e-12,1.09813039361111e-12,0.00804656615721215,0.00804656615721215
427.5,4.27500000000477,4.275,4.77307082746847e-12,1.11650779589906e-12,0.00804681202684379,0.00804681202684379
427.625,4.27625000000477,4.27625,4.76507722169117e-12,1.11431212433585e-12,0.00804705784077667,0.00804705784077667
427.75,4.27750000000475,4.2775,4.74731365329717e-12,1.1098337003617e-12,0.00804730359905404,0.00804730359905404
427.875,4.27875000000477,4.27875,4.76596540011087e-12,1.11386862988276e-12,0.00804754930171915,0.00804754930171915
428,4.28000000000482,4.28,4.82369699739138e-12,1.1270320087363e-12,0.00804779494881515,0.00804779494881515
428.125,4.28125000000478,4.28125,4.78372896850487e-12,1.11736735030771e-12,0.00804804054038521,0.00804804054038521
428.25,4.28250000000483,4.2825,4.82724971107018e-12,1.12720366866788e-12,0.00804828607647242,0.00804828607647242
428.375,4.28375000000486,4.28375,4.86011231259909e-12,1.13454620661782e-12,0.00804853155711984,0.00804853155711984
428.5,4.28500000000484,4.285,4.83879603052628e-12,1.12924061389178e-12,0.00804877698237051,0.00804877698237051
428.625,4.28625000000487,4.28625,4.86544138311729e-12,1.13512776509006e-12,0.0080490223522674,0.0080490223522674
428.75,4.2875000000049,4.2875,4.90096851990529e-12,1.1430830367126e-12,0.00804926766685347,0.00804926766685347
428.875,4.28875000000492,4.28875,4.92317298039779e-12,1.14792724695956e-12,0.00804951292617162,0.00804951292617162
429,4.2900000000049,4.29,4.90008034148559e-12,1.14220986981016e-12,0.00804975813026473,0.00804975813026473
429.125,4.29125000000495,4.29125,4.9480419761494e-12,1.15305376665293e-12,0.00805000327917561,0.00805000327917561
429.25,4.29250000000494,4.2925,4.9400483703721e-12,1.15085576479257e-12,0.00805024837294708,0.00805024837294708
429.375,4.29375000000496,4.29375,4.9578119387661e-12,1.15465780233272e-12,0.00805049341162186,0.00805049341162186
429.5,4.295000000005,4.295,4.999556324492e-12,1.16404105343236e-12,0.00805073839524268,0.00805073839524268
429.625,4.296250000005,4.29625,5.00222085975111e-12,1.16432257428015e-12,0.00805098332385222,0.00805098332385222
429.75,4.29750000000498,4.2975,4.9791282208389e-12,1.15861040624524e-12,0.00805122819749311,0.00805122819749311
429.875,4.29875000000506,4.29875,5.05551156493311e-12,1.17604223668115e-12,0.00805147301620794,0.00805147301620794
430,4.30000000000508,4.3,5.08393327436352e-12,1.18231006380547e-12,0.00805171778003928,0.00805171778003928
430.125,4.30125000000506,4.30125,5.05462338651341e-12,1.17515219680637e-12,0.00805196248902964,0.00805196248902964
430.25,4.30250000000511,4.3025,5.11235498379392e-12,1.18822893289806e-12,0.00805220714322151,0.00805220714322151
430.375,4.30375000000507,4.30375,5.06528152754981e-12,1.17694604183557e-12,0.00805245174265732,0.00805245174265732
430.5,4.30500000000513,4.305,5.13189490902732e-12,1.19207779536059e-12,0.00805269628737949,0.00805269628737949
430.625,4.30625000000512,4.30625,5.12390130325002e-12,1.18987548406387e-12,0.00805294077743038,0.00805294077743038
430.75,4.30750000000518,4.3075,5.18340925736993e-12,1.20334515551246e-12,0.00805318521285231,0.00805318521285231
430.875,4.3087500000052,4.30875,5.19673193366543e-12,1.20608806119302e-12,0.00805342959368758,0.00805342959368758
431,4.31000000000516,4.31,5.16298115371683e-12,1.19790746025912e-12,0.00805367391997843,0.00805367391997843
431.125,4.31125000000518,4.31125,5.17808018685173e-12,1.20106238024975e-12,0.00805391819176708,0.00805391819176708
431.25,4.31250000000527,4.3125,5.26956256408084e-12,1.22192755109121e-12,0.0080541624090957,0.0080541624090957
431.375,4.31375000000528,4.31375,5.28022070511724e-12,1.22404420866236e-12,0.00805440657200643,0.00805440657200643
431.5,4.31500000000525,4.315,5.25446353094594e-12,1.21772040114622e-12,0.00805465068054136,0.00805465068054136
431.625,4.31625000000527,4.31625,5.26600985040204e-12,1.2200428266208e-12,0.00805489473474256,0.00805489473474256
431.75,4.31750000000528,4.3175,5.28377341879605e-12,1.22380391865571e-12,0.00805513873465204,0.00805513873465204
431.875,4.31875000000531,4.31875,5.30864241454765e-12,1.22920808441045e-12,0.00805538268031179,0.00805538268031179
432,4.3200000000053,4.32,5.29976063035065e-12,1.2267964422108e-12,0.00805562657176376,0.00805562657176376
432.125,4.32125000000536,4.32125,5.35749222763116e-12,1.23980149901791e-12,0.00805587040904985,0.00805587040904985
432.25,4.32250000000534,4.3225,5.33528776713865e-12,1.23430601900258e-12,0.00805611419221192,0.00805611419221192
432.375,4.3237500000054,4.32375,5.39923661335706e-12,1.2487393150291e-12,0.00805635792129183,0.00805635792129183
432.5,4.32500000000538,4.325,5.38236122338276e-12,1.2444765834411e-12,0.00805660159633134,0.00805660159633134
432.625,4.32625000000543,4.32625,5.43121103646627e-12,1.25540850308379e-12,0.00805684521737223,0.00805684521737223
432.75,4.32750000000537,4.3275,5.37170308234636e-12,1.24129476195179e-12,0.00805708878445621,0.00805708878445621
432.875,4.32875000000541,4.32875,5.41255928965256e-12,1.25037465542075e-12,0.00805733229762496,0.00805733229762496
433,4.33000000000548,4.33,5.48361356322857e-12,1.26642345571099e-12,0.00805757575692012,0.00805757575692012
433.125,4.33125000000546,4.33125,5.45874456747697e-12,1.26031620605529e-12,0.0080578191623833,0.0080578191623833
433.25,4.33250000000543,4.3325,5.43121103646627e-12,1.25359746946711e-12,0.00805806251405606,0.00805806251405606
433.375,4.33375000000549,4.33375,5.48538992006797e-12,1.26573750679388e-12,0.00805830581197995,0.00805830581197995
433.5,4.33500000000551,4.335,5.51203527265898e-12,1.27151909403898e-12,0.00805854905619643,0.00805854905619643
433.625,4.33625000000555,4.33625,5.54933876628638e-12,1.27975526463797e-12,0.00805879224674698,0.00805879224674698
433.75,4.33750000000558,4.3375,5.58397772465469e-12,1.28737238608754e-12,0.00805903538367301,0.00805903538367301
433.875,4.33875000000556,4.33875,5.55555601522428e-12,1.28045082459793e-12,0.0080592784670159,0.0080592784670159
434,4.34000000000559,4.34,5.59108315201229e-12,1.2882680073761e-12,0.00805952149681699,0.00805952149681699
434.125,4.34125000000559,4.34125,5.59108315201229e-12,1.28789706928011e-12,0.00805976447311759,0.00805976447311759
434.25,4.34250000000562,4.3425,5.62039303986239e-12,1.29427588713008e-12,0.00806000739595896,0.00806000739595896
434.375,4.34375000000565,4.34375,5.6497029277125e-12,1.30065103371798e-12,0.00806025026538234,0.00806025026538234
434.5,4.34500000000566,4.345,5.663025604008e-12,1.30334306191208e-12,0.00806049308142891,0.00806049308142891
434.625,4.34625000000571,4.34625,5.7056581681536e-12,1.31277726043224e-12,0.00806073584413984,0.00806073584413984
434.75,4.34750000000571,4.3475,5.71009906025211e-12,1.31342129045477e-12,0.00806097855355625,0.00806097855355625
434.875,4.34875000000572,4.34875,5.71631630919001e-12,1.31447342551078e-12,0.00806122120971921,0.00806122120971921
435,4.35000000000573,4.35,5.72963898548551e-12,1.31715838746793e-12,0.00806146381266978,0.00806146381266978
435.125,4.35125000000572,4.35125,5.72430991496731e-12,1.31555528065896e-12,0.00806170636244895,0.00806170636244895
435.25,4.35250000000572,4.3525,5.71720448760971e-12,1.31354497130608e-12,0.0080619488590977,0.0080619488590977
435.375,4.35375000000574,4.35375,5.73852076968251e-12,1.31806391494287e-12,0.00806219130265697,0.00806219130265697
435.5,4.35500000000579,4.355,5.78559422592662e-12,1.32849465578108e-12,0.00806243369316765,0.00806243369316765
435.625,4.35625000000583,4.35625,5.83444403901012e-12,1.33932718255613e-12,0.0080626760306706,0.0080626760306706
