t,norm,P0,P1,P2,P3,P4,P5,P6,P7,P8,P9,leakage_above_first_excited
14.75,0.981968473652041,0.0578252074482344,0.448495703339616,0.453222417851235,6.72772540886081e-31,0.0131333943576013,0.00924646728866031,3.53253710394564e-30,1.40187743757354e-30,2.11454150831435e-05,2.2969736074611e-05,0.0404566713609145
15,0.984049356653146,0.0570755056444339,0.451335084015326,0.456091722875704,6.39470793757883e-31,0.011455681690574,0.00806528633322353,4.29636865977496e-30,1.32003316227791e-30,1.22882810703884e-05,1.33484526970766e-05,0.0354976874645364
15.25,0.986145470507903,0.0570407326247794,0.452927238127877,0.457700656765391,6.11827607462489e-31,0.0108310375707429,0.00762551034966526,4.82093636836024e-30,1.60067202969191e-30,9.65611184367842e-06,1.0489193032344e-05,0.0323313724819516
15.5,0.988196367774376,0.0566489783666526,0.453733121440261,0.458515033314876,6.3305729063502e-31,0.0113115020204688,0.00796377772341418,5.01763508305946e-30,2.42123461152984e-30,1.13184583669008e-05,1.22949585258496e-05,0.0311028668782107
15.75,0.990142365071726,0.055084676752894,0.454169890153966,0.45895640515187,6.43030826789224e-31,0.0128489734376366,0.0090462228841249,4.80174360626519e-30,3.84681586041309e-30,1.6853307571937e-05,1.83073269259323e-05,0.0317890279412704
16,0.991929367927185,0.0518777572011533,0.454560796725655,0.459351431503864,6.4276805901406e-31,0.0153049717496697,0.0107753499806607,4.27705710134146e-30,6.01767506878234e-30,2.72327566706339e-05,2.958226314542e-05,0.0342100145693282
16.25,0.993513584608944,0.0469415649336845,0.455107832713381,0.459904232726177,6.42103594329249e-31,0.0184641340719231,0.0129995343976448,3.63707169838309e-30,9.38938289318158e-30,4.42138356916968e-05,4.80283850041013e-05,0.0380463696267572
16.5,0.994864974395634,0.0405557607290318,0.455889045218085,0.460693678461334,5.52530336778797e-31,0.022050598159834,0.0155245574014374,3.23424502066292e-30,1.36627427997327e-29,6.94075289972832e-05,7.53956645632294e-05,0.0428615155915493
16.75,0.995968500801239,0.0332985832282556,0.456877039766937,0.461692085525036,3.47539266631047e-31,0.0257481755157903,0.018127808863947,3.08287574391963e-30,1.8814734663117e-29,0.000103116179572659,0.000112012529453484,0.0481322914797715
17,0.996822753134158,0.0259401624643493,0.457971432488533,0.462798012096166,1.82956323590613e-31,0.0292253573786312,0.0205758925410256,2.92990803150753e-30,2.39811933641936e-29,0.000143184165479532,0.00015553738142274,0.0532903929509525
17.25,0.997436145261353,0.0193137252508208,0.459036821558478,0.463874629344977,5.45837548031155e-32,0.0321645427289821,0.0226452038292838,2.99045218095135e-30,2.85615798577798e-29,0.000184423538547152,0.00020033468199694,0.0577748238457237
17.5,0.997821528361409,0.0141837135701621,0.459938920182024,0.464786235222712,6.17346785703311e-33,0.0342926791771937,0.0241435022522505,3.03689998168812e-30,3.21830718918948e-29,0.00021927672164719,0.000238194823971937,0.0610911310251017
17.75,0.997990484867539,0.0111292274123722,0.460573675156584,0.465427679905841,8.22624542570659e-32,0.0354092927699406,0.0249296456344015,3.15373404625735e-30,3.40249991341095e-29,0.000239913923001531,0.000260612500170961,0.0628694175252024
18,0.997948703448319,0.0104583993779264,0.460886438851731,0.465743739830329,3.15018004019923e-31,0.0354079880994879,0.0249287270910048,3.17911454764241e-30,3.45105163317594e-29,0.000241062564956861,0.000261860241227564,0.0629114219400139
18.25,0.997693625813144,0.0121647843066934,0.460880036334574,0.465737269836782,5.71295605106404e-31,0.034288488604171,0.0241405519109053,3.23620001703109e-30,3.21177120835854e-29,0.00022218388884161,0.00024135280705801,0.0612179095219505
18.5,0.997215004080041,0.0159311966544657,0.460611714670115,0.465466120319357,8.67938024730968e-31,0.0321577767679661,0.022640440305437,3.54088261693991e-30,2.8648684081339e-29,0.000187780021085736,0.000203980745114977,0.0579909683560622
18.75,0.996498250954908,0.0211802995544607,0.460179646087802,0.465029498148631,1.09300381455597e-30,0.0292203617034765,0.0205723753735939,3.84932552309242e-30,2.3949120416386e-29,0.000145628235155212,0.000158192313244957,0.0536105562091067
19,0.995529757724673,0.0271651991220132,0.459700237687385,0.464545037243527,1.10612445767653e-30,0.0257587162941415,0.0181352300194813,4.11639862653417e-30,1.89397390738885e-29,0.000103901141536007,0.000112865214021545,0.048589525947075
19.25,0.994302890917809,0.0330879758011786,0.459278262187331,0.464118614526466,1.21789848086581e-30,0.0221058619459123,0.0155634654534084,4.32079288678914e-30,1.46452289245574e-29,6.86289548172828e-05,7.45499188846084e-05,0.0435151474850244
19.5,0.992823225564615,0.0382300771817357,0.458973040143864,0.463810175735433,1.0876762237803e-30,0.0186133226759358,0.0131045695096109,4.2641739339273e-30,1.03939750247172e-29,4.25442479957132e-05,4.62147536055483e-05,0.0389867069389673
19.75,0.991111773246637,0.0420761783343321,0.458765716219912,0.463600666816189,1.10050642720762e-30,0.0156183837337679,0.010996005325344,3.96921056923828e-30,7.27475497243434e-30,2.54569663253963e-05,2.76532664625163e-05,0.035557438629567
20,0.98920549327446,0.0444130294095676,0.458534467208716,0.463366980662231,9.69982037040976e-31,0.0134138718950561,0.0094439353844674,3.54161101824129e-30,4.89852756771466e-30,1.55821868367965e-05,1.6926540231021e-05,0.033685522719485
20.25,0.987155063379715,0.0453874731280215,0.458044998784229,0.462872353710053,8.76618830070676e-31,0.0122221137148306,0.00860488702199515,2.9712186927591e-30,3.35202931576353e-30,1.10410305979441e-05,1.19935956721217e-05,0.0336951743776963
20.5,0.985020540962909,0.045513153063834,0.456961992569983,0.46177793364914,9.16483466806569e-31,0.0121735967672566,0.00857072903081072,2.26528922546954e-30,2.5745069263328e-30,1.09903918703693e-05,1.19385880875947e-05,0.0357469207170427
20.75,0.982866016901368,0.0456228674744725,0.454883227104189,0.459677259989309,9.405620759549e-31,0.0132909128409757,0.00935736698939446,1.72747621198273e-30,2.0622909357411e-30,1.61579933864761e-05,1.75520244990842e-05,0.0398166454320303
21,0.980754516041051,0.0467719517452445,0.451392810956261,0.456150058203225,1.12048694372567e-30,0.0154797906131228,0.010898429883567,1.55197464651943e-30,2.11477704246057e-30,2.8702914645566e-05,3.11792590208544e-05,0.0456851790952695
21.25,0.978744212950025,0.0501057870980176,0.446124866792999,0.450826594961546,1.39960518264506e-30,0.018530516556371,0.0130462704853826,1.83194441041215e-30,2.51402644378217e-30,5.13419436876016e-05,5.57714706202245e-05,0.0529427511474376
21.5,0.976886619753963,0.0567099042749247,0.438825757736303,0.443450560296771,1.80878533342845e-30,0.0221333204436655,0.0155827974017503,2.45407240615585e-30,3.13778039056754e-30,8.58209386151226e-05,9.32251413327261e-05,0.0610137776920017
21.75,0.975226867857634,0.0674633232142613,0.429402776424303,0.433928269800361,2.21198907914589e-30,0.0259093878425631,0.0182413091872792,3.44248322848595e-30,4.19304143595312e-30,0.000131170420584164,0.000142487150513138,0.0692056305610741
22,0.973805634415619,0.082914570768148,0.417950378694722,0.422355174783966,2.63219563676817e-30,0.0294553039985533,0.0207377847252821,4.49449315323357e-30,5.37165994796307e-30,0.000182561066669585,0.000198311525331255,0.0767798757531639
22.25,0.972661802883004,0.103195683290616,0.404750545630773,0.409016228140935,2.8434372456272e-30,0.0323943207439848,0.0228069773085176,5.46332305632976e-30,6.66980414889448e-30,0.000231602510502806,0.000251584020438959,0.0830375429376756
22.5,0.971834710076184,0.127983652549949,0.390249722470291,0.394362580213677,3.25642554590978e-30,0.0344248693367358,0.0242365697375336,6.04532355789311e-30,7.5824980031278e-30,0.000268395725894786,0.000291551571019884,0.0874040447660822
22.75,0.971364851097442,0.156512613377471,0.375018925418243,0.378971265170234,3.35379140082712e-30,0.0353567832795654,0.0248926767235568,6.01156177272378e-30,8.12376970163371e-30,0.000284731058580137,0.000309296234768414,0.089497196034052
23,0.971292229124604,0.187634412986065,0.359704838488847,0.363495782454027,3.30363466848824e-30,0.0351287791817698,0.0247321521573598,5.64917315899667e-30,7.94658854785264e-30,0.000277057348550416,0.000300960475295126,0.0891649660710614
23.25,0.97165214671009,0.219920574502759,0.344978182487755,0.34861392162464,3.18777085548792e-30,0.0338055089355842,0.0238005137162792,5.06486870082194e-30,7.35098514798805e-30,0.000247789000260032,0.000269166999833582,0.0864873213848466
23.5,0.97246896996939,0.251795553682333,0.331482544791928,0.33497605285265,2.92658915129633e-30,0.0315573129845357,0.0222176883054335,4.16745881239794e-30,6.59413983901026e-30,0.000204297975534226,0.000221923786321886,0.0817458486730887
23.75,0.973749024842533,0.281689467154889,0.319783918540889,0.323154134302365,2.70870905064745e-30,0.0286293796995319,0.0201562989489571,3.43431514812254e-30,5.86648043872884e-30,0.00015610761441394,0.000169575801100456,0.0753724800018568
