t,energy,center,max_abs_u
25.65,1.37179714757133e-08,-0.000152728198069672,0.000152728198069672
25.65625,1.35905996564847e-08,-0.000151589069506844,0.000151589069506844
25.6625,1.3457469986692e-08,-0.000150391500493554,0.000150391500493554
25.66875,1.33187877391904e-08,-0.000149135952717774,0.000149135952717774
25.675,1.31747667485431e-08,-0.000147822910296621,0.000147822910296621
25.68125,1.30256290804114e-08,-0.000146452879417461,0.000146452879417461
25.6875,1.28716046895783e-08,-0.000145026388129996,0.000145026388129996
25.69375,1.27129310673789e-08,-0.000143543986302877,0.000143543986302877
25.7,1.25498528769088e-08,-0.000142006245470657,0.000142006245470657
25.70625,1.23826215753702e-08,-0.000140413758501152,0.000140413758501152
25.7125,1.22114950251795e-08,-0.000138767139313155,0.000138767139313155
25.71875,1.20367370956016e-08,-0.000137067022729417,0.000137067022729417
25.725,1.18586172551574e-08,-0.000135314064266694,0.000135314064266694
25.73125,1.16774101546554e-08,-0.000133508939778303,0.000133508939778303
25.7375,1.14933952021937e-08,-0.000131652345132907,0.000131652345132907
25.74375,1.13068561325531e-08,-0.000129744996025768,0.000129744996025768
25.75,1.11180805720956e-08,-0.000127787627771037,0.000127787627771037
25.75625,1.09273595978882e-08,-0.000125780994985063,0.000125780994985063
25.7625,1.07349872893616e-08,-0.000123725871272063,0.000123725871272063
25.76875,1.05412602731503e-08,-0.000121623048956603,0.000121623048956603
25.775,1.03464772639155e-08,-0.000119473338755598,0.000119473338755598
25.78125,1.01509386032842e-08,-0.00011727756939703,0.00011727756939703
25.7875,9.95494579684504e-09,-0.000115036587328687,0.000115036587328687
25.79375,9.75880104883301e-09,-0.000112751256486302,0.000112751256486302
25.8,9.56280679599343e-09,-0.000110422457933089,0.000110422457933089
25.80625,9.36726524284061e-09,-0.000108051089405546,0.000108051089405546
25.8125,9.17247789842748e-09,-0.0001056380650036,0.0001056380650036
25.81875,8.97874511260975e-09,-0.000103184315006512,0.000103184315006512
25.825,8.78636561093333e-09,-0.000100690785519809,0.000100690785519809
25.83125,8.59563603060714e-09,-9.81584379115281e-05,9.81584379115281e-05
25.8375,8.40685046150625e-09,-9.55882483536842e-05,9.55882483536842e-05
25.84375,8.2202999941315e-09,-9.29812075933752e-05,9.29812075933752e-05
25.85,8.03627227349885e-09,-9.03383206852456e-05,9.03383206852456e-05
25.85625,7.85505105716692e-09,-8.76606065294522e-05,8.76606065294522e-05
25.8625,7.67691577726909e-09,-8.49490974217519e-05,8.49490974217519e-05
25.86875,7.50214110823218e-09,-8.22048387394553e-05,8.22048387394553e-05
25.875,7.33099654214685e-09,-7.94288885616318e-05,7.94288885616318e-05
25.88125,7.16374597286554e-09,-7.66223171236924e-05,7.66223171236924e-05
25.8875,7.00064728918761e-09,-7.37862063403276e-05,7.37862063403276e-05
25.89375,6.84195197746988e-09,-7.09216495222458e-05,7.09216495222458e-05
25.9,6.68790473413877e-09,-6.80297510482525e-05,6.80297510482525e-05
25.90625,6.5387430885505e-09,-6.51116258358685e-05,6.51116258358685e-05
25.9125,6.39469703676077e-09,-6.2168398826071e-05,6.2168398826071e-05
25.91875,6.25598868705007e-09,-5.92012046456959e-05,5.92012046456959e-05
25.925,6.12283191788239e-09,-5.62111872496395e-05,5.62111872496395e-05
25.93125,5.9954320483469e-09,-5.31994993842683e-05,5.31994993842683e-05
25.9375,5.87398552109272e-09,-5.01673020646814e-05,5.01673020646814e-05
25.94375,5.75867959864683e-09,-4.71157642217666e-05,4.71157642217666e-05
25.95,5.649692074495e-09,-4.40460623282465e-05,4.40460623282465e-05
25.95625,5.54719099946253e-09,-4.09593798517357e-05,4.09593798517357e-05
25.9625,5.45133442297825e-09,-3.78569067287173e-05,3.78569067287173e-05
25.96875,5.36227014919306e-09,-3.47398390042401e-05,3.47398390042401e-05
25.975,5.28013550885541e-09,-3.16093784277482e-05,3.16093784277482e-05
25.98125,5.20505714769077e-09,-2.84667318647544e-05,2.84667318647544e-05
25.9875,5.13715083122158e-09,-2.53131107717818e-05,2.53131107717818e-05
25.99375,5.07652126607321e-09,-2.21497308966015e-05,2.21497308966015e-05
26,5.02326193852891e-09,-1.89778119094779e-05,1.89778119094779e-05
26.00625,4.97745497084398e-09,-1.57985767350916e-05,1.6946520784777e-05
26.0125,4.93917099489277e-09,-1.26132508961101e-05,1.52944248397418e-05
26.01875,4.90846904284795e-09,-9.42306220176656e-06,1.38023531313324e-05
26.025,4.88539645564168e-09,-6.2292405274227e-06,1.24173583184879e-05
26.03125,4.86998881001263e-09,-3.03301728160289e-06,1.11207747952347e-05
26.0375,4.86226986388909e-09,1.64375289997425e-07,9.90132331980784e-06
26.04375,4.86225151966713e-09,3.36170457114978e-06,8.75021699499863e-06
26.05,4.86993380590102e-09,6.55773789603929e-06,7.66362727796116e-06
26.05625,4.88530487793508e-09,9.7512430757222e-06,9.7512430757222e-06
26.0625,4.90834103665308e-09,1.29409890463551e-05,1.29409890463551e-05
26.06875,4.93900676424177e-09,1.61257462730289e-05,1.61257462730289e-05
26.075,4.97725477761378e-09,1.93042869766928e-05,1.93042869766928e-05
26.08125,5.0230261011688e-09,2.24753856011563e-05,2.24753856011563e-05
26.0875,5.07625015893082e-09,2.56378195399463e-05,2.56378195399463e-05
26.09375,5.13684488415736e-09,2.8790369705872e-05,2.8790369705872e-05
26.1,5.20471684524756e-09,3.19318208145728e-05,3.19318208145728e-05
26.10625,5.27976138889411e-09,3.50609617219807e-05,3.50609617219807e-05
26.1125,5.36186280162043e-09,3.81765860005396e-05,3.81765860005396e-05
26.11875,5.45089448910783e-09,4.12774925175754e-05,4.12774925175754e-05
26.125,5.54671917188282e-09,4.4362485843035e-05,4.4362485843035e-05
26.13125,5.64918909683866e-09,4.74303766494267e-05,4.74303766494267e-05
26.1375,5.75814626470811e-09,5.04799822262768e-05,5.04799822262768e-05
