t,norm,energy,x_avg,y_avg
0.397,1,1.66523,0.434467,0.181827
0.398,1,1.66523,0.434285,0.182261
0.399,1,1.66523,0.434103,0.182694
0.4,1,1.66523,0.43392,0.183128
0.401,1,1.66523,0.433737,0.183561
0.402,1,1.66523,0.433554,0.183994
0.403,1,1.66523,0.43337,0.184426
0.404,1,1.66523,0.433186,0.184859
0.405,1,1.66523,0.433001,0.185291
0.406,1,1.66523,0.432816,0.185723
0.407,1,1.66523,0.432631,0.186155
0.408,1,1.66523,0.432445,0.186587
0.409,1,1.66523,0.432259,0.187019
0.41,1,1.66523,0.432072,0.18745
0.411,1,1.66523,0.431885,0.187881
0.412,1,1.66523,0.431697,0.188312
0.413,1,1.66523,0.431509,0.188743
0.414,1,1.66523,0.43132,0.189174
0.415,1,1.66523,0.431131,0.189604
0.416,1,1.66523,0.430942,0.190035
0.417,1,1.66523,0.430752,0.190465
0.418,1,1.66523,0.430562,0.190895
0.419,1,1.66523,0.430371,0.191325
0.42,1,1.66523,0.43018,0.191754
0.421,1,1.66523,0.429989,0.192183
0.422,1,1.66523,0.429797,0.192613
0.423,1,1.66523,0.429604,0.193042
0.424,1,1.66523,0.429411,0.19347
0.425,1,1.66523,0.429218,0.193899
0.426,1,1.66523,0.429024,0.194327
0.427,1,1.66523,0.42883,0.194755
0.428,1,1.66523,0.428636,0.195183
0.429,1,1.66523,0.428441,0.195611
0.43,1,1.66523,0.428246,0.196039
0.431,1,1.66523,0.42805,0.196466
0.432,1,1.66523,0.427854,0.196893
0.433,1,1.66523,0.427657,0.19732
0.434,1,1.66523,0.42746,0.197747
0.435,1,1.66523,0.427262,0.198174
0.436,1,1.66523,0.427064,0.1986
0.437,1,1.66523,0.426866,0.199027
0.438,1,1.66523,0.426667,0.199453
0.439,1,1.66523,0.426468,0.199878
0.44,1,1.66523,0.426268,0.200304
0.441,1,1.66523,0.426068,0.200729
0.442,1,1.66523,0.425868,0.201155
0.443,1,1.66523,0.425667,0.20158
0.444,1,1.66523,0.425466,0.202005
0.445,1,1.66523,0.425264,0.202429
0.446,1,1.66523,0.425062,0.202854
0.447,1,1.66523,0.424859,0.203278
0.448,1,1.66523,0.424656,0.203702
0.449,1,1.66523,0.424453,0.204126
0.45,1,1.66523,0.424249,0.204549
0.451,1,1.66523,0.424044,0.204973
0.452,1,1.66523,0.42384,0.205396
0.453,1,1.66523,0.423635,0.205819
0.454,1,1.66523,0.423429,0.206242
0.455,1,1.66523,0.423223,0.206664
0.456,1,1.66523,0.423017,0.207087
0.457,1,1.66523,0.42281,0.207509
0.458,1,1.66523,0.422603,0.207931
0.459,1,1.66523,0.422395,0.208353
0.46,1,1.66523,0.422187,0.208774
0.461,1,1.66523,0.421978,0.209195
0.462,1,1.66523,0.421769,0.209617
0.463,1,1.66523,0.42156,0.210038
0.464,1,1.66523,0.42135,0.210458
0.465,1,1.66523,0.42114,0.210879
0.466,1,1.66523,0.420929,0.211299
0.467,1,1.66523,0.420718,0.211719
0.468,1,1.66523,0.420507,0.212139
0.469,1,1.66523,0.420295,0.212559
0.47,1,1.66523,0.420083,0.212978
0.471,1,1.66523,0.41987,0.213397
0.472,1,1.66523,0.419657,0.213816
0.473,1,1.66523,0.419443,0.214235
0.474,1,1.66523,0.41923,0.214654
0.475,1,1.66523,0.419015,0.215072
0.476,1,1.66523,0.4188,0.21549
0.477,1,1.66523,0.418585,0.215908
0.478,1,1.66523,0.41837,0.216326
0.479,1,1.66523,0.418153,0.216743
0.48,1,1.66523,0.417937,0.217161
0.481,1,1.66523,0.41772,0.217578
0.482,1,1.66523,0.417503,0.217995
0.483,1,1.66523,0.417285,0.218411
0.484,1,1.66523,0.417067,0.218828
0.485,1,1.66523,0.416849,0.219244
0.486,1,1.66523,0.41663,0.21966
0.487,1,1.66523,0.41641,0.220076
0.488,1,1.66523,0.41619,0.220491
0.489,1,1.66523,0.41597,0.220907
0.49,1,1.66523,0.41575,0.221322
0.491,1,1.66523,0.415529,0.221737
0.492,1,1.66523,0.415307,0.222151
