t,min_u,max_u,mass,center_x,center_y,shape_error
2.36,0.000222175993246225,0.338543710067192,1.57079393714645,2.5,2.5,0.566741391448052
2.38,0.000232198127901636,0.336711302846977,1.57079393714645,2.5,2.5,0.56877601778519
2.4,0.000242542180326106,0.334898714491557,1.57079393714645,2.5,2.5,0.570791677156197
2.42,0.000253213503487314,0.333105623802111,1.57079393714645,2.5,2.5,0.57278864725028
2.44,0.000264217403004904,0.331331716514026,1.57079393714645,2.5,2.5,0.574767200391135
2.46,0.000275559134578532,0.329576685110097,1.57079393714645,2.5,2.5,0.576727603665061
2.48,0.000287243901493095,0.32784022863975,1.57079393714645,2.5,2.5,0.578670119045328
2.5,0.000299276852201935,0.326122052544079,1.57079393714644,2.5,2.5,0.58059500351292
2.52,0.000311663077988703,0.324421868486481,1.57079393714645,2.5,2.5,0.58250250917379
2.54,0.000324407610708398,0.322739394188658,1.57079393714644,2.5,2.5,0.584392883372752
2.56,0.000337515420607962,0.321074353271821,1.57079393714645,2.5,2.5,0.586266368804115
2.58,0.0003509914142267,0.319426475102869,1.57079393714644,2.5,2.5,0.588123203619174
2.6,0.000364840432376625,0.317795494645394,1.57079393714644,2.5,2.5,0.589963621530674
2.62,0.000379067248202756,0.316181152315312,1.57079393714644,2.5,2.5,0.591787851914338
2.64,0.000393676565323254,0.314583193840963,1.57079393714644,2.5,2.5,0.593596119907563
2.66,0.000408673016049164,0.313001370127515,1.57079393714644,2.5,2.5,0.595388646505386
2.68,0.000424061159683464,0.311435437125528,1.57079393714644,2.5,2.5,0.597165648653795
2.7,0.00043984548089898,0.309885155703508,1.57079393714644,2.5,2.5,0.59892733934049
2.72,0.000456030388194671,0.308350291524338,1.57079393714644,2.5,2.5,0.600673927683175
2.74,0.000472620212429676,0.306830614925423,1.57079393714644,2.5,2.5,0.602405619015437
2.76,0.000489619205434451,0.305325900802434,1.57079393714644,2.5,2.5,0.604122614970342
2.78,0.000507031538698233,0.303835928496522,1.57079393714644,2.5,2.5,0.605825113561772
2.8,0.000524861302131999,0.302360481684879,1.57079393714644,2.5,2.5,0.607513309263598
2.82,0.000543112502906044,0.300899348274532,1.57079393714644,2.5,2.5,0.609187393086762
2.84,0.000561789064361196,0.299452320299259,1.57079393714644,2.5,2.5,0.610847552654326
2.86,0.000580894824992673,0.298019193819519,1.57079393714644,2.5,2.5,0.612493972274558
2.88,0.000600433537505507,0.296599768825294,1.57079393714644,2.5,2.5,0.614126833012109
2.9,0.000620408867940417,0.295193849141748,1.57079393714644,2.5,2.5,0.615746312757357
2.92,0.000640824394868979,0.293801242337594,1.57079393714644,2.5,2.5,0.617352586293949
2.94,0.000661683608656882,0.292421759636102,1.57079393714644,2.5,2.5,0.618945825364633
2.96,0.00068298991079404,0.291055215828638,1.57079393714644,2.5,2.5,0.620526198735394
2.98,0.000704746613290282,0.289701429190656,1.57079393714644,2.5,2.5,0.622093872257974
3,0.000726956938135327,0.288360221400071,1.57079393714644,2.5,2.5,0.623649008930818
