# t b1 d1 e1 b2 d2 e2 b3 d3 e3 
0.0318333 0.00841179 -0.0573171 0.0182795 0.00464373 -0.149289 0.0268517 0.000927871 -0.13365 0.00637679
0.032 0.00840224 -0.0572664 0.0182385 0.0046189 -0.148595 0.0265731 0.000905764 -0.13164 0.00615353
0.0321667 0.0083927 -0.0572154 0.0181975 0.00459419 -0.147903 0.0262972 0.000883991 -0.129649 0.00593694
0.0323333 0.00838317 -0.0571641 0.0181566 0.0045696 -0.147211 0.0260238 0.000862548 -0.127675 0.00572685
0.0325 0.00837364 -0.0571126 0.0181157 0.00454512 -0.146521 0.0257529 0.000841432 -0.12572 0.00552311
0.0326667 0.00836413 -0.0570607 0.018075 0.00452076 -0.145832 0.0254846 0.000820641 -0.123783 0.00532556
0.0328333 0.00835462 -0.0570086 0.0180343 0.00449651 -0.145144 0.0252187 0.000800171 -0.121864 0.00513405
0.033 0.00834513 -0.0569562 0.0179936 0.00447238 -0.144457 0.0249554 0.00078002 -0.119963 0.00494843
0.0331667 0.00833564 -0.0569036 0.0179531 0.00444836 -0.143772 0.0246946 0.000760184 -0.11808 0.00476856
0.0333333 0.00832616 -0.0568507 0.0179126 0.00442446 -0.143088 0.0244363 0.00074066 -0.116215 0.00459429
0.0335 0.00831669 -0.0567976 0.0178722 0.00440067 -0.142405 0.0241804 0.000721446 -0.114369 0.00442548
0.0336667 0.00830723 -0.0567442 0.0178319 0.00437699 -0.141724 0.0239269 0.000702537 -0.11254 0.004262
0.0338333 0.00829777 -0.0566907 0.0177916 0.00435342 -0.141045 0.0236758 0.000683932 -0.11073 0.00410369
0.034 0.00828833 -0.0566369 0.0177515 0.00432997 -0.140367 0.0234272 0.000665627 -0.108938 0.00395044
0.0341667 0.00827889 -0.0565829 0.0177114 0.00430663 -0.13969 0.0231809 0.000647619 -0.107164 0.00380211
0.0343333 0.00826947 -0.0565286 0.0176714 0.00428341 -0.139015 0.022937 0.000629906 -0.105409 0.00365857
0.0345 0.00826005 -0.0564742 0.0176314 0.0042603 -0.138342 0.0226955 0.000612483 -0.103671 0.0035197
0.0346667 0.00825064 -0.0564196 0.0175915 0.0042373 -0.137671 0.0224563 0.000595349 -0.101952 0.00338536
0.0348333 0.00824124 -0.0563649 0.0175518 0.00421441 -0.137001 0.0222194 0.000578499 -0.10025 0.00325544
0.035 0.00823185 -0.0563099 0.017512 0.00419163 -0.136333 0.0219848 0.000561932 -0.0985667 0.00312983
0.0351667 0.00822247 -0.0562548 0.0174724 0.00416896 -0.135667 0.0217525 0.000545644 -0.0969012 0.0030084
0.0353333 0.0082131 -0.0561995 0.0174329 0.00414641 -0.135002 0.0215224 0.000529632 -0.0952538 0.00289103
0.0355 0.00820374 -0.056144 0.0173934 0.00412396 -0.13434 0.0212946 0.000513893 -0.0936242 0.00277762
0.0356667 0.00819439 -0.0560884 0.017354 0.00410163 -0.133679 0.0210691 0.000498424 -0.0920125 0.00266806
0.0358333 0.00818504 -0.0560326 0.0173147 0.0040794 -0.13302 0.0208457 0.000483222 -0.0904186 0.00256224
0.036 0.00817571 -0.0559767 0.0172754 0.00405729 -0.132363 0.0206245 0.000468284 -0.0888425 0.00246006
0.0361667 0.00816639 -0.0559207 0.0172362 0.00403528 -0.131708 0.0204056 0.000453608 -0.0872841 0.0023614
0.0363333 0.00815707 -0.0558645 0.0171972 0.00401338 -0.131055 0.0201887 0.000439189 -0.0857433 0.00226617
0.0365 0.00814776 -0.0558082 0.0171581 0.0039916 -0.130404 0.0199741 0.000425026 -0.0842201 0.00217428
0.0366667 0.00813847 -0.0557518 0.0171192 0.00396992 -0.129755 0.0197615 0.000411116 -0.0827145 0.00208562
0.0368333 0.00812918 -0.0556952 0.0170804 0.00394834 -0.129108 0.0195511 0.000397455 -0.0812262 0.00200011
0.037 0.0081199 -0.0556385 0.0170416 0.00392688 -0.128463 0.0193427 0.000384041 -0.0797554 0.00191764
0.0371667 0.00811063 -0.0555818 0.0170029 0.00390552 -0.12782 0.0191365 0.00037087 -0.0783019 0.00183814
0.0373333 0.00810138 -0.0555249 0.0169643 0.00388427 -0.127179 0.0189323 0.00035794 -0.0768656 0.0017615
0.0375 0.00809213 -0.0554679 0.0169257 0.00386313 -0.12654 0.0187301 0.000345248 -0.0754465 0.00168765
0.0376667 0.00808289 -0.0554108 0.0168873 0.00384209 -0.125903 0.01853 0.000332791 -0.0740444 0.0016165
0.0378333 0.00807366 -0.0553536 0.0168489 0.00382116 -0.125269 0.0183319 0.000320566 -0.0726594 0.00154797
0.038 0.00806443 -0.0552964 0.0168106 0.00380034 -0.124636 0.0181357 0.000308571 -0.0712913 0.00148198
0.0381667 0.00805522 -0.055239 0.0167724 0.00377962 -0.124006 0.0179416 0.000296803 -0.06994 0.00141846
0.0383333 0.00804602 -0.0551816 0.0167342 0.003759 -0.123378 0.0177494 0.000285258 -0.0686054 0.00135732
